Name,Document Name,Minimum,Maximum,Length,Direction,GO_function,GO_process,locus_tag,old_locus_tag,EC_number,gene,product,protein_id,Amino Acid Change,CDS,CDS Position,CDS Position Within Codon,Change,Codon Change,Coverage,Polymorphism Type,Protein Effect,Reference Frequency,Reference Nucleotide(s),Variant Frequency,Variant Nucleotide(s),Variant P-Value (approximate)
class I SAM-dependent methyltransferase CDS,mvR01_Nixon,18529,19311,783,forward,GO:0008168 - methyltransferase activity [Evidence IEA]; GO:1904047 - S-adenosyl-L-methionine binding [Evidence IEA],,SGL_RS01235,slr8021,2.1.-.-,,class I SAM-dependent methyltransferase,WP_011153792.1,,,,,,,,,,,,,,
HNH endonuclease CDS,mvR01_Nixon,37299,38048,750,reverse,,,SGL_RS01320,sll8040,,,HNH endonuclease,WP_011153811.1,,,,,,,,,,,,,,
Crp/Fnr family transcriptional regulator CDS,mvR01_Nixon,17687,18409,723,reverse,GO:0030552 - cAMP binding [Evidence IEA]; GO:0003700 - DNA-binding transcription factor activity [Evidence IEA],GO:0006355 - regulation of DNA-templated transcription [Evidence IEA],SGL_RS01230,sll8020,,,Crp/Fnr family transcriptional regulator,WP_011153791.1,,,,,,,,,,,,,,
SprT family zinc-dependent metalloprotease CDS,mvR01_Nixon,42203,42913,711,reverse,GO:0046872 - metal ion binding [Evidence IEA]; GO:0008237 - metallopeptidase activity [Evidence IEA],GO:0006508 - proteolysis [Evidence IEA],SGL_RS01355,sll8048,3.4.-.-,,SprT family zinc-dependent metalloprotease,WP_011153817.1,,,,,,,,,,,,,,
DUF4433 domain-containing protein CDS,mvR01_Nixon,2983,3621,639,reverse,,,SGL_RS01135,sll8002,,,DUF4433 domain-containing protein,WP_011153773.1,,,,,,,,,,,,,,
nuoB CDS,mvR01_Nixon,<27401,28012,>612,reverse,GO:0051536 - iron-sulfur cluster binding [Evidence IEA]; GO:0008137 - NADH dehydrogenase (ubiquinone) activity [Evidence IEA]; GO:0048038 - quinone binding [Evidence IEA],,SGL_RS01280,ndhK2,,nuoB,NADH-quinone oxidoreductase subunit NuoB,,,,,,,,,,,,,,,
ParA family protein CDS,mvR01_Nixon,10395,10994,600,forward,GO:0005524 - ATP binding [Evidence IEA],,SGL_RS01200,slr8015,,,ParA family protein,WP_011153786.1,,,,,,,,,,,,,,
hypothetical protein CDS,mvR01_Nixon,12618,13181,564,reverse,,,SGL_RS01215,sll8017,,,hypothetical protein,WP_199303651.1,,,,,,,,,,,,,,
recombinase family protein CDS,mvR01_Nixon,24295,24861,567,forward,GO:0003677 - DNA binding [Evidence IEA]; GO:0000150 - DNA strand exchange activity [Evidence IEA],GO:0006310 - DNA recombination [Evidence IEA],SGL_RS01270,slr8029,,,recombinase family protein,WP_011153800.1,,,,,,,,,,,,,,
zeta toxin family protein CDS,mvR01_Nixon,3836,4372,537,reverse,GO:0005524 - ATP binding [Evidence IEA]; GO:0016301 - kinase activity [Evidence IEA],,SGL_RS01145,sll8004,,,zeta toxin family protein,WP_041428288.1,,,,,,,,,,,,,,
MarR family transcriptional regulator CDS,mvR01_Nixon,22461,22985,525,forward,GO:0003677 - DNA binding [Evidence IEA]; GO:0003700 - DNA-binding transcription factor activity [Evidence IEA],,SGL_RS01255,slr8026,,,MarR family transcriptional regulator,WP_011153797.1,,,,,,,,,,,,,,
hypothetical protein CDS,mvR01_Nixon,21810,22325,516,reverse,,,SGL_RS01250,sll8025,,,hypothetical protein,WP_011153796.1,,,,,,,,,,,,,,
DUF6653 family protein CDS,mvR01_Nixon,30084,30587,504,reverse,,,SGL_RS01300,sll8035,,,DUF6653 family protein,WP_011153806.1,,,,,,,,,,,,,,
PIN domain-containing protein CDS,mvR01_Nixon,9948,10373,426,forward,,,SGL_RS01195,slr8014,,,PIN domain-containing protein,WP_011153785.1,,,,,,,,,,,,,,
"putative toxin-antitoxin system toxin component,PIN family CDS",mvR01_Nixon,23434,23859,426,reverse,GO:0005515 - protein binding [Evidence IEA];GO:0004521 - RNA endonuclease activity [Evidence IEA],,SGL_RS01260,sll8027,,,"putative toxin-antitoxin system toxin component,PIN family",WP_011153798.1,,,,,,,,,,,,,,
GNAT family N-acetyltransferase CDS,mvR01_Nixon,30954,31376,423,forward,GO:0008080 - N-acetyltransferase activity [Evidence IEA],,SGL_RS19695,,,,GNAT family N-acetyltransferase,WP_223211247.1,,,,,,,,,,,,,,
hypothetical protein CDS,mvR01_Nixon,9205,9621,417,reverse,,,SGL_RS01185,sll8012,,,hypothetical protein,WP_011153783.1,,,,,,,,,,,,,,
DUF5615 family PIN-like protein CDS,mvR01_Nixon,8821,9195,375,reverse,,,SGL_RS01180,sll8011,,,DUF5615 family PIN-like protein,WP_011153782.1,,,,,,,,,,,,,,
DUF5615 family PIN-like protein CDS,mvR01_Nixon,6043,6393,351,reverse,,,SGL_RS01160,sll8007,,,DUF5615 family PIN-like protein,WP_011153778.1,,,,,,,,,,,,,,
cupin domain-containing protein CDS,mvR01_Nixon,19356,19691,336,forward,,,SGL_RS01240,slr8022,,,cupin domain-containing protein,WP_011153793.1,,,,,,,,,,,,,,
YdhR family protein CDS,mvR01_Nixon,28120,28461,342,reverse,,,SGL_RS01285,sll8032,,,YdhR family protein,WP_011153803.1,,,,,,,,,,,,,,
hypothetical protein CDS,mvR01_Nixon,42903,43241,339,reverse,,,SGL_RS01360,,,,hypothetical protein,WP_041428293.1,,,,,,,,,,,,,,
hypothetical protein CDS,mvR01_Nixon,28521,28823,303,reverse,,,SGL_RS01290,sll8033,,,hypothetical protein,WP_223211246.1,,,,,,,,,,,,,,
hypothetical protein CDS,mvR01_Nixon,36679,36978,300,reverse,,,SGL_RS19310,,,,hypothetical protein,WP_158299060.1,,,,,,,,,,,,,,
nucleotidyltransferase family protein CDS,mvR01_Nixon,4365,4655,291,reverse,,,SGL_RS01150,ssl8005,,,nucleotidyltransferase family protein,WP_011153776.1,,,,,,,,,,,,,,
hypothetical protein CDS,mvR01_Nixon,38411,38557,147,forward,,,SGL_RS19395,,,,hypothetical protein,WP_158299062.1,,,,,,,,,,,,,,
DUF2281 domain-containing protein CDS,mvR01_Nixon,9713,9940,228,forward,,,SGL_RS01190,ssr8013,,,DUF2281 domain-containing protein,WP_011153784.1,,,,,,,,,,,,,,
AbrB/MazE/SpoVT family DNA-binding domain-containing protein CDS,mvR01_Nixon,23856,24077,222,reverse,,,SGL_RS01265,ssl8028,,,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,WP_011153799.1,,,,,,,,,,,,,,
DUF433 domain-containing protein CDS,mvR01_Nixon,6377,6601,225,reverse,,,SGL_RS01165,ssl8008,,,DUF433 domain-containing protein,WP_011153779.1,,,,,,,,,,,,,,
TetR/AcrR family transcriptional regulator CDS,mvR01_Nixon,<23002,>23196,>195,reverse,,,SGL_RS20225,,,,TetR/AcrR family transcriptional regulator,,,,,,,,,,,,,,,
hypothetical protein CDS,mvR01_Nixon,3660,3839,180,reverse,,,SGL_RS01140,ssl8003,,,hypothetical protein,WP_011153774.1,,,,,,,,,,,,,,
gene,mvR01_Nixon,1,44343,2970,reverse,,,SGL_RS01125,sll8049,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,32698,36411,3714,forward,,,SGL_RS01315,slr8038,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,25147,27345,2199,forward,,,SGL_RS01275,slr8030,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,6652,8619,1968,reverse,,,SGL_RS01170,sll8009,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,39500,40969,1470,forward,,,SGL_RS01335,slr8044,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,13695,15104,1410,reverse,,,SGL_RS01220,sll8018,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,4652,6046,1395,reverse,,,SGL_RS01155,sll8006,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,19938,21278,1341,forward,,,SGL_RS01245,slr8023,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,15590,16915,1326,reverse,,,SGL_RS01225,sll8019,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,31402,32598,1197,forward,,,SGL_RS20230,,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,38568,39415,848,reverse,,,SGL_RS18570,,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,41056,41903,848,forward,,,SGL_RS18575,,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,1920,2966,1047,reverse,,,SGL_RS01130,sll8001,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,29006,30040,1035,reverse,,,SGL_RS01295,sll8034,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,10998,11867,870,forward,,,SGL_RS01205,slr8016,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,18529,19311,783,forward,,,SGL_RS01235,slr8021,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,37299,38048,750,reverse,,,SGL_RS01320,sll8040,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,17687,18409,723,reverse,,,SGL_RS01230,sll8020,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,42203,42913,711,reverse,,,SGL_RS01355,sll8048,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,2983,3621,639,reverse,,,SGL_RS01135,sll8002,,,,,,,,,,,,,,,,,,
nuoB gene,mvR01_Nixon,<27401,28012,>612,reverse,,,SGL_RS01280,ndhK2,,nuoB,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,10395,10994,600,forward,,,SGL_RS01200,slr8015,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,12618,13181,564,reverse,,,SGL_RS01215,sll8017,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,24295,24861,567,forward,,,SGL_RS01270,slr8029,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,3836,4372,537,reverse,,,SGL_RS01145,sll8004,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,22461,22985,525,forward,,,SGL_RS01255,slr8026,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,21810,22325,516,reverse,,,SGL_RS01250,sll8025,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,30084,30587,504,reverse,,,SGL_RS01300,sll8035,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,9948,10373,426,forward,,,SGL_RS01195,slr8014,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,23434,23859,426,reverse,,,SGL_RS01260,sll8027,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,30954,31376,423,forward,,,SGL_RS19695,,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,9205,9621,417,reverse,,,SGL_RS01185,sll8012,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,8821,9195,375,reverse,,,SGL_RS01180,sll8011,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,6043,6393,351,reverse,,,SGL_RS01160,sll8007,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,19356,19691,336,forward,,,SGL_RS01240,slr8022,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,28120,28461,342,reverse,,,SGL_RS01285,sll8032,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,42903,43241,339,reverse,,,SGL_RS01360,,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,28521,28823,303,reverse,,,SGL_RS01290,sll8033,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,36679,36978,300,reverse,,,SGL_RS19310,,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,4365,4655,291,reverse,,,SGL_RS01150,ssl8005,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,38411,38557,147,forward,,,SGL_RS19395,,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,9713,9940,228,forward,,,SGL_RS01190,ssr8013,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,23856,24077,222,reverse,,,SGL_RS01265,ssl8028,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,6377,6601,225,reverse,,,SGL_RS01165,ssl8008,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,<23002,>23196,>195,reverse,,,SGL_RS20225,,,,,,,,,,,,,,,,,,,
gene,mvR01_Nixon,3660,3839,180,reverse,,,SGL_RS01140,ssl8003,,,,,,,,,,,,,,,,,,
G,mvR01_Nixon,2,2,1,none,,,SGL_RS01125,,,,type I restriction endonuclease subunit R,WP_011153818.1,I -> T,type I restriction endonuclease subunit R CDS,1913,2,A -> G,ATC -> ACC,104,SNP (transition),Substitution,18.3%,A,32.7%,G,3.0E-48
ATC,mvR01_Nixon,5,4,0,none,,,SGL_RS01125,,,,type I restriction endonuclease subunit R,WP_011153818.1,Q -> QM,type I restriction endonuclease subunit R CDS,1911,3,+ATC,"CAG -> CAG,ATG",124,Insertion,Insertion,,,21.8%,ATC,9.2E-47
A,mvR01_Nixon,44340,44339,0,none,,,SGL_RS01125,,,,type I restriction endonuclease subunit R,WP_011153818.1,,type I restriction endonuclease subunit R CDS,1919,2,+A,,119,Insertion,Frame Shift,,,21.0%,A,3.3E-16
A,mvR01_Nixon,44343,44343,1,none,,,SGL_RS01125,,,,type I restriction endonuclease subunit R,WP_011153818.1,T -> S,type I restriction endonuclease subunit R CDS,1915,1,T -> A,ACC -> TCC,69,SNP (transversion),Substitution,33.3%,T,29.0%,A,1.0E-35
