"","OxyElectrode 1 Last (V)","OxyElectrode 1 Ave. (V)","OxyElectrode 1 Min. (V)","OxyElectrode 1 Max. (V)","OxyElectrode 2 Last (V)","OxyElectrode 2 Ave. (V)","OxyElectrode 2 Min. (V)","OxyElectrode 2 Max. (V)","OxyElectrode 3 Last (V)","OxyElectrode 3 Ave. (V)","OxyElectrode 3 Min. (V)","OxyElectrode 3 Max. (V)"
"184:43:55","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:43:56","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:43:57","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:43:58","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:43:59","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:44:00","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.37","0.37","0.37","0.37"
"184:44:01","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:44:02","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:44:03","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:44:04","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:44:05","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:44:06","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.37","0.37","0.37","0.37"
"184:44:07","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:44:08","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:44:09","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:44:10","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:44:11","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:44:12","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.37","0.37","0.37","0.37"
"184:44:13","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.37","0.37","0.37","0.37"
"184:44:14","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:44:15","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:44:16","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:44:17","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:44:18","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.37","0.37","0.37","0.37"
"184:44:19","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:44:20","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:44:21","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:44:22","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:44:23","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.37","0.37","0.37","0.37"
"184:44:24","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:44:25","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:44:26","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:44:27","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:44:28","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.37","0.37","0.37","0.37"
"184:44:29","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.37","0.37","0.37","0.37"
"184:44:30","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:44:31","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:44:32","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:44:33","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:44:34","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:44:35","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:44:36","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:44:37","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:44:38","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:44:39","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:44:40","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:44:41","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:44:42","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:44:43","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:44:44","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:44:45","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:44:46","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:44:47","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:44:48","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:44:49","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:44:50","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:44:51","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:44:52","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:44:53","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:44:54","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:44:55","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:44:56","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:44:57","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:44:58","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:44:59","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:45:00","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:45:01","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:45:02","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:45:03","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:45:04","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:45:05","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:45:06","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:45:07","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:45:08","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:45:09","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:45:10","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:45:11","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:45:12","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:45:13","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:45:14","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:45:15","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:45:16","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:45:17","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:45:18","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:45:19","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:45:20","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:45:21","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:45:22","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:45:23","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:45:24","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:45:25","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:45:26","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:45:27","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:45:28","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:45:29","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:45:30","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:45:31","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:45:32","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:45:33","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:45:34","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:45:35","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:45:36","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:45:37","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:45:38","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:45:39","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:45:40","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:45:41","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:45:42","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:45:43","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:45:44","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:45:45","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:45:46","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:45:47","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:45:48","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:45:49","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:45:50","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:45:51","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:45:52","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:45:53","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:45:54","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:45:55","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:45:56","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:45:57","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:45:58","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:45:59","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:46:00","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:46:01","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:46:02","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:46:03","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:46:04","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:46:05","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:46:06","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.33","0.33","0.33","0.33"
"184:46:07","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:46:08","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:46:09","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:46:10","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:46:11","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.34","0.34","0.34","0.34"
"184:46:12","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:46:13","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:46:14","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:46:15","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.35","0.35","0.35","0.35"
"184:46:16","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.36","0.36","0.36","0.36"
"184:46:17","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.35","0.35","0.35","0.35"
"184:46:18","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.34","0.34","0.34","0.34"
"184:46:19","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:46:20","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:46:21","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.34","0.34","0.34","0.34"
"184:46:22","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.35","0.35","0.35","0.35"
"184:46:23","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.35","0.35","0.35","0.35"
"184:46:24","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.34","0.34","0.34","0.34"
"184:46:25","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:46:26","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:46:27","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.34","0.34","0.34","0.34"
"184:46:28","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.35","0.35","0.35","0.35"
"184:46:29","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.35","0.35","0.35","0.35"
"184:46:30","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.35","0.35","0.35","0.35"
"184:46:31","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.34","0.34","0.34","0.34"
"184:46:32","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:46:33","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:46:34","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.34","0.34","0.34","0.34"
"184:46:35","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.35","0.35","0.35","0.35"
"184:46:36","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.35","0.35","0.35","0.35"
"184:46:37","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.34","0.34","0.34","0.34"
"184:46:38","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:46:39","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:46:40","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:46:41","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.34","0.34","0.34","0.34"
"184:46:42","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.35","0.35","0.35","0.35"
"184:46:43","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.35","0.35","0.35","0.35"
"184:46:44","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.34","0.34","0.34","0.34"
"184:46:45","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:46:46","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:46:47","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:46:48","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.34","0.34","0.34","0.34"
"184:46:49","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.35","0.35","0.35","0.35"
"184:46:50","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.35","0.35","0.35","0.35"
"184:46:51","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:46:52","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.32","0.32","0.32","0.32"
"184:46:53","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.32","0.32","0.32","0.32"
"184:46:54","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:46:55","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.34","0.34","0.34","0.34"
"184:46:56","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.35","0.35","0.35","0.35"
"184:46:57","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.35","0.35","0.35","0.35"
"184:46:58","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:46:59","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:47:00","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:47:01","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:47:02","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.34","0.34","0.34","0.34"
"184:47:03","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.35","0.35","0.35","0.35"
"184:47:04","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.34","0.34","0.34","0.34"
"184:47:05","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:47:06","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.32","0.32","0.32","0.32"
"184:47:07","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.32","0.32","0.32","0.32"
"184:47:08","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:47:09","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.34","0.34","0.34","0.34"
"184:47:10","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.35","0.35","0.35","0.35"
"184:47:11","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.34","0.34","0.34","0.34"
"184:47:12","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:47:13","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.32","0.32","0.32","0.32"
"184:47:14","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.33","0.33","0.33","0.33"
"184:47:15","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.34","0.34","0.34","0.34"
"184:47:16","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.35","0.35","0.35","0.35"
"184:47:17","0.04","0.04","0.04","0.04","0.44","0.44","0.44","0.44","0.34","0.34","0.34","0.34"
