,,Minutes,Oxy Electrode 1 Last (V),OxyElectrode 2 Last (V),OxyElectrode 3 Last (V)
75:45:17,64,1.066666667,0.927,0.986,0.827
75:45:18,65,1.083333333,0.929,0.986,0.827
75:45:19,66,1.1,0.927,0.985,0.826
75:45:20,67,1.116666667,0.929,0.986,0.827
75:45:21,68,1.133333333,0.928,0.985,0.827
75:45:22,69,1.15,0.927,0.983,0.827
75:45:23,70,1.166666667,0.927,0.984,0.827
75:45:24,71,1.183333333,0.926,0.981,0.827
75:45:25,72,1.2,0.927,0.984,0.827
75:45:26,73,1.216666667,0.927,0.983,0.826
75:45:27,74,1.233333333,0.922,0.985,0.827
75:45:28,75,1.25,0.91,0.985,0.825
75:45:29,76,1.266666667,0.906,0.983,0.826
75:45:30,77,1.283333333,0.905,0.984,0.824
75:45:31,78,1.3,0.904,0.982,0.825
75:45:32,79,1.316666667,0.903,0.983,0.824
75:45:33,80,1.333333333,0.904,0.972,0.825
75:45:34,81,1.35,0.902,0.965,0.823
75:45:35,82,1.366666667,0.904,0.959,0.824
75:45:36,83,1.383333333,0.902,0.956,0.822
75:45:37,84,1.4,0.904,0.956,0.823
75:45:38,85,1.416666667,0.903,0.957,0.816
75:45:39,86,1.433333333,0.905,0.958,0.816
75:45:40,87,1.45,0.905,0.959,0.814
75:45:41,88,1.466666667,0.906,0.96,0.811
75:45:42,89,1.483333333,0.906,0.961,0.809
75:45:43,90,1.5,0.906,0.961,0.807
75:45:44,91,1.516666667,0.908,0.963,0.807
75:45:45,92,1.533333333,0.908,0.962,0.808
75:45:46,93,1.55,0.91,0.965,0.808
75:45:47,94,1.566666667,0.909,0.964,0.807
75:45:48,95,1.583333333,0.911,0.965,0.808
75:45:49,96,1.6,0.911,0.964,0.806
75:45:50,97,1.616666667,0.911,0.964,0.808
75:45:51,98,1.633333333,0.913,0.967,0.807
75:45:52,99,1.65,0.914,0.966,0.808
75:45:53,100,1.666666667,0.914,0.968,0.808
75:45:54,101,1.683333333,0.916,0.968,0.808
75:45:55,102,1.7,0.914,0.969,0.808
75:45:56,103,1.716666667,0.917,0.969,0.809
75:45:57,104,1.733333333,0.915,0.97,0.808
75:45:58,105,1.75,0.917,0.97,0.809
75:45:59,106,1.766666667,0.917,0.971,0.81
75:46:00,107,1.783333333,0.917,0.971,0.81
75:46:01,108,1.8,0.919,0.973,0.811
75:46:02,109,1.816666667,0.918,0.972,0.812
75:46:03,110,1.833333333,0.919,0.974,0.812
75:46:04,111,1.85,0.919,0.973,0.811
75:46:05,112,1.866666667,0.919,0.975,0.814
75:46:06,113,1.883333333,0.92,0.977,0.812
75:46:07,114,1.9,0.92,0.976,0.814
75:46:08,115,1.916666667,0.92,0.977,0.813
75:46:09,116,1.933333333,0.921,0.975,0.814
75:46:10,117,1.95,0.92,0.976,0.814
75:46:11,118,1.966666667,0.922,0.977,0.814
75:46:12,119,1.983333333,0.92,0.978,0.815
75:46:13,120,2,0.922,0.979,0.815
75:46:14,121,2.016666667,0.921,0.978,0.815
75:46:15,122,2.033333333,0.921,0.976,0.816
75:46:16,123,2.05,0.921,0.976,0.815
75:46:17,124,2.066666667,0.921,0.974,0.815
75:46:18,125,2.083333333,0.922,0.976,0.815
75:46:19,126,2.1,0.921,0.973,0.815
75:46:20,127,2.116666667,0.922,0.976,0.817
75:46:21,128,2.133333333,0.923,0.977,0.815
75:46:22,129,2.15,0.923,0.978,0.818
75:46:23,130,2.166666667,0.923,0.979,0.817
75:46:24,131,2.183333333,0.924,0.977,0.818
75:46:25,132,2.2,0.922,0.978,0.817
75:46:26,133,2.216666667,0.924,0.978,0.818
75:46:27,134,2.233333333,0.922,0.977,0.818
75:46:28,135,2.25,0.924,0.978,0.818
75:46:29,136,2.266666667,0.923,0.979,0.818
75:46:30,137,2.283333333,0.923,0.979,0.82
75:46:31,138,2.3,0.923,0.978,0.818
75:46:32,139,2.316666667,0.923,0.975,0.819
75:46:33,140,2.333333333,0.923,0.979,0.818
75:46:34,141,2.35,0.923,0.978,0.818
75:46:35,142,2.366666667,0.922,0.979,0.819
75:46:36,143,2.383333333,0.924,0.98,0.818
75:46:37,144,2.4,0.923,0.981,0.819
75:46:38,145,2.416666667,0.923,0.982,0.818
75:46:39,146,2.433333333,0.924,0.981,0.819
75:46:40,147,2.45,0.922,0.981,0.819
75:46:41,148,2.466666667,0.924,0.981,0.819
75:46:42,149,2.483333333,0.922,0.979,0.818
75:46:43,150,2.5,0.923,0.979,0.819
75:46:44,151,2.516666667,0.923,0.978,0.817
75:46:45,152,2.533333333,0.923,0.976,0.818
75:46:46,153,2.55,0.923,0.977,0.816
75:46:47,154,2.566666667,0.923,0.976,0.818
75:46:48,155,2.583333333,0.923,0.98,0.817
75:46:49,156,2.6,0.924,0.979,0.817
75:46:50,157,2.616666667,0.922,0.98,0.818
75:46:51,158,2.633333333,0.924,0.982,0.818
75:46:52,159,2.65,0.922,0.982,0.819
75:46:53,160,2.666666667,0.923,0.981,0.818
75:46:54,161,2.683333333,0.923,0.982,0.819
75:46:55,162,2.7,0.922,0.98,0.819
75:46:56,163,2.716666667,0.923,0.981,0.819
75:46:57,164,2.733333333,0.922,0.978,0.819
75:46:58,165,2.75,0.923,0.978,0.819
75:46:59,166,2.766666667,0.922,0.976,0.817
75:47:00,167,2.783333333,0.922,0.979,0.819
75:47:01,168,2.8,0.922,0.981,0.817
75:47:02,169,2.816666667,0.922,0.979,0.819
75:47:03,170,2.833333333,0.922,0.981,0.817
75:47:04,171,2.85,0.922,0.977,0.818
75:47:05,172,2.866666667,0.921,0.978,0.817
75:47:06,173,2.883333333,0.922,0.977,0.817
75:47:07,174,2.9,0.921,0.979,0.818
75:47:08,175,2.916666667,0.922,0.98,0.818
75:47:09,176,2.933333333,0.921,0.98,0.818
75:47:10,177,2.95,0.922,0.98,0.818
75:47:11,178,2.966666667,0.921,0.98,0.818
75:47:12,179,2.983333333,0.921,0.978,0.818
75:47:13,180,3,0.922,0.979,0.818
75:47:14,181,3.016666667,0.92,0.977,0.818
75:47:15,182,3.033333333,0.921,0.98,0.818
75:47:16,183,3.05,0.921,0.978,0.817
75:47:17,184,3.066666667,0.921,0.98,0.818
75:47:18,185,3.083333333,0.921,0.98,0.817
75:47:19,186,3.1,0.92,0.98,0.819
75:47:20,187,3.116666667,0.921,0.982,0.817
75:47:21,188,3.133333333,0.92,0.979,0.818
75:47:22,189,3.15,0.92,0.981,0.817
75:47:23,190,3.166666667,0.921,0.979,0.818
75:47:24,191,3.183333333,0.919,0.98,0.817
75:47:25,192,3.2,0.921,0.979,0.817
75:47:26,193,3.216666667,0.919,0.978,0.817
75:47:27,194,3.233333333,0.921,0.979,0.816
75:47:28,195,3.25,0.919,0.976,0.817
75:47:29,196,3.266666667,0.92,0.974,0.816
75:47:30,197,3.283333333,0.92,0.974,0.816
75:47:31,198,3.3,0.918,0.976,0.816
75:47:32,199,3.316666667,0.92,0.978,0.816
75:47:33,200,3.333333333,0.919,0.977,0.816
75:47:34,201,3.35,0.92,0.979,0.816
75:47:35,202,3.366666667,0.919,0.977,0.815
75:47:36,203,3.383333333,0.919,0.978,0.816
75:47:37,204,3.4,0.919,0.979,0.815
75:47:38,205,3.416666667,0.918,0.978,0.817
75:47:39,206,3.433333333,0.919,0.979,0.815
75:47:40,207,3.45,0.918,0.978,0.816
75:47:41,208,3.466666667,0.918,0.979,0.815
75:47:42,209,3.483333333,0.918,0.977,0.816
75:47:43,210,3.5,0.917,0.978,0.817
75:47:44,211,3.516666667,0.919,0.978,0.816
75:47:45,212,3.533333333,0.917,0.975,0.817
75:47:46,213,3.55,0.918,0.975,0.815
75:47:47,214,3.566666667,0.917,0.973,0.815
75:47:48,215,3.583333333,0.916,0.973,0.815
75:47:49,216,3.6,0.918,0.975,0.814
75:47:50,217,3.616666667,0.916,0.973,0.814
75:47:51,218,3.633333333,0.917,0.975,0.815
75:47:52,219,3.65,0.917,0.974,0.814
75:47:53,220,3.666666667,0.916,0.973,0.816
75:47:54,221,3.683333333,0.917,0.974,0.814
75:47:55,222,3.7,0.916,0.973,0.815
75:47:56,223,3.716666667,0.915,0.974,0.815
75:47:57,224,3.733333333,0.917,0.974,0.815
75:47:58,225,3.75,0.915,0.975,0.815
75:47:59,226,3.766666667,0.916,0.976,0.815
75:48:00,227,3.783333333,0.916,0.975,0.814
75:48:01,228,3.8,0.915,0.974,0.814
75:48:02,229,3.816666667,0.916,0.976,0.813
75:48:03,230,3.833333333,0.915,0.973,0.814
75:48:04,231,3.85,0.914,0.971,0.814
75:48:05,232,3.866666667,0.914,0.97,0.813
75:48:06,233,3.883333333,0.913,0.97,0.814
75:48:07,234,3.9,0.914,0.971,0.812
75:48:08,235,3.916666667,0.915,0.972,0.813
75:48:09,236,3.933333333,0.913,0.971,0.813
75:48:10,237,3.95,0.914,0.973,0.813
75:48:11,238,3.966666667,0.914,0.972,0.812
75:48:12,239,3.983333333,0.913,0.973,0.814
75:48:13,240,4,0.913,0.975,0.812
75:48:14,241,4.016666667,0.913,0.972,0.813
75:48:15,242,4.033333333,0.912,0.973,0.812
75:48:16,243,4.05,0.913,0.973,0.813
75:48:17,244,4.066666667,0.912,0.972,0.812
75:48:18,245,4.083333333,0.912,0.971,0.812
75:48:19,246,4.1,0.913,0.972,0.812
75:48:20,247,4.116666667,0.912,0.97,0.812
75:48:21,248,4.133333333,0.913,0.97,0.812
75:48:22,249,4.15,0.912,0.966,0.811
75:48:23,250,4.166666667,0.912,0.967,0.813
75:48:24,251,4.183333333,0.912,0.969,0.811
75:48:25,252,4.2,0.912,0.969,0.812
75:48:26,253,4.216666667,0.911,0.971,0.812
75:48:27,254,4.233333333,0.913,0.972,0.812
75:48:28,255,4.25,0.911,0.968,0.811
75:48:29,256,4.266666667,0.911,0.968,0.812
75:48:30,257,4.283333333,0.911,0.968,0.811
75:48:31,258,4.3,0.911,0.967,0.812
75:48:32,259,4.316666667,0.91,0.969,0.811
75:48:33,260,4.333333333,0.912,0.969,0.812
75:48:34,261,4.35,0.909,0.97,0.81
75:48:35,262,4.366666667,0.91,0.971,0.811
75:48:36,263,4.383333333,0.91,0.971,0.81
75:48:37,264,4.4,0.91,0.969,0.81
75:48:38,265,4.416666667,0.91,0.971,0.809
75:48:39,266,4.433333333,0.91,0.971,0.809
75:48:40,267,4.45,0.909,0.972,0.811
75:48:41,268,4.466666667,0.91,0.972,0.81
75:48:42,269,4.483333333,0.909,0.971,0.811
75:48:43,270,4.5,0.909,0.971,0.81
75:48:44,271,4.516666667,0.91,0.97,0.811
75:48:45,272,4.533333333,0.908,0.969,0.81
75:48:46,273,4.55,0.91,0.969,0.81
75:48:47,274,4.566666667,0.909,0.968,0.809
75:48:48,275,4.583333333,0.909,0.968,0.811
75:48:49,276,4.6,0.909,0.969,0.809
75:48:50,277,4.616666667,0.909,0.966,0.81
75:48:51,278,4.633333333,0.908,0.969,0.809
75:48:52,279,4.65,0.91,0.968,0.81
75:48:53,280,4.666666667,0.908,0.968,0.809
75:48:54,281,4.683333333,0.909,0.968,0.809
75:48:55,282,4.7,0.908,0.968,0.808
75:48:56,283,4.716666667,0.908,0.965,0.809
75:48:57,284,4.733333333,0.908,0.966,0.808
75:48:58,285,4.75,0.908,0.965,0.808
75:48:59,286,4.766666667,0.907,0.967,0.809
75:49:00,287,4.783333333,0.908,0.967,0.808
75:49:01,288,4.8,0.907,0.967,0.809
75:49:02,289,4.816666667,0.908,0.968,0.808
75:49:03,290,4.833333333,0.908,0.967,0.808
75:49:04,291,4.85,0.906,0.966,0.807
75:49:05,292,4.866666667,0.908,0.967,0.808
75:49:06,293,4.883333333,0.907,0.966,0.807
75:49:07,294,4.9,0.907,0.968,0.809
75:49:08,295,4.916666667,0.907,0.968,0.807
75:49:09,296,4.933333333,0.907,0.967,0.808
75:49:10,297,4.95,0.907,0.968,0.807
75:49:11,298,4.966666667,0.907,0.966,0.807
75:49:12,299,4.983333333,0.906,0.967,0.807
75:49:13,300,5,0.907,0.967,0.807
75:49:14,301,5.016666667,0.906,0.966,0.807
75:49:15,302,5.033333333,0.906,0.965,0.807
75:49:16,303,5.05,0.907,0.964,0.807
75:49:17,304,5.066666667,0.905,0.961,0.807
75:49:18,305,5.083333333,0.906,0.963,0.807
75:49:19,306,5.1,0.906,0.962,0.805
75:49:20,307,5.116666667,0.906,0.962,0.807
75:49:21,308,5.133333333,0.906,0.963,0.806
75:49:22,309,5.15,0.906,0.962,0.807
75:49:23,310,5.166666667,0.904,0.963,0.806
75:49:24,311,5.183333333,0.906,0.965,0.807
75:49:25,312,5.2,0.905,0.964,0.805
75:49:26,313,5.216666667,0.905,0.965,0.807
75:49:27,314,5.233333333,0.905,0.966,0.805
75:49:28,315,5.25,0.905,0.962,0.806
75:49:29,316,5.266666667,0.904,0.964,0.807
75:49:30,317,5.283333333,0.905,0.963,0.806
75:49:31,318,5.3,0.904,0.964,0.806
75:49:32,319,5.316666667,0.905,0.964,0.806
75:49:33,320,5.333333333,0.904,0.965,0.805
75:49:34,321,5.35,0.903,0.964,0.806
75:49:35,322,5.366666667,0.904,0.965,0.806
75:49:36,323,5.383333333,0.903,0.964,0.805
75:49:37,324,5.4,0.903,0.965,0.806
75:49:38,325,5.416666667,0.903,0.965,0.804
75:49:39,326,5.433333333,0.903,0.962,0.805
75:49:40,327,5.45,0.902,0.962,0.805
75:49:41,328,5.466666667,0.904,0.961,0.806
75:49:42,329,5.483333333,0.902,0.961,0.804
75:49:43,330,5.5,0.904,0.961,0.805
75:49:44,331,5.516666667,0.903,0.962,0.804
75:49:45,332,5.533333333,0.903,0.962,0.804
75:49:46,333,5.55,0.902,0.964,0.803
75:49:47,334,5.566666667,0.903,0.963,0.804
75:49:48,335,5.583333333,0.902,0.963,0.804
75:49:49,336,5.6,0.903,0.963,0.804
75:49:50,337,5.616666667,0.903,0.964,0.804
75:49:51,338,5.633333333,0.902,0.962,0.805
75:49:52,339,5.65,0.902,0.963,0.805
75:49:53,340,5.666666667,0.902,0.961,0.804
75:49:54,341,5.683333333,0.902,0.961,0.805
75:49:55,342,5.7,0.901,0.962,0.804
75:49:56,343,5.716666667,0.902,0.962,0.805
75:49:57,344,5.733333333,0.901,0.961,0.803
75:49:58,345,5.75,0.901,0.961,0.804
75:49:59,346,5.766666667,0.901,0.962,0.802
75:50:00,347,5.783333333,0.901,0.961,0.803
75:50:01,348,5.8,0.9,0.961,0.802
75:50:02,349,5.816666667,0.901,0.961,0.803
75:50:03,350,5.833333333,0.899,0.962,0.802
75:50:04,351,5.85,0.9,0.962,0.803
75:50:05,352,5.866666667,0.9,0.963,0.802
75:50:06,353,5.883333333,0.9,0.96,0.802
75:50:07,354,5.9,0.899,0.962,0.802
75:50:08,355,5.916666667,0.9,0.961,0.802
75:50:09,356,5.933333333,0.9,0.961,0.802
75:50:10,357,5.95,0.899,0.96,0.802
75:50:11,358,5.966666667,0.9,0.962,0.802
75:50:12,359,5.983333333,0.899,0.958,0.802
75:50:13,360,6,0.899,0.959,0.802
75:50:14,361,6.016666667,0.899,0.957,0.801
75:50:15,362,6.033333333,0.899,0.956,0.802
75:50:16,363,6.05,0.898,0.958,0.801
75:50:17,364,6.066666667,0.9,0.958,0.802
75:50:18,365,6.083333333,0.898,0.958,0.801
75:50:19,366,6.1,0.899,0.958,0.802
75:50:20,367,6.116666667,0.899,0.959,0.8
75:50:21,368,6.133333333,0.898,0.957,0.801
75:50:22,369,6.15,0.898,0.958,0.8
75:50:23,370,6.166666667,0.899,0.957,0.8
75:50:24,371,6.183333333,0.897,0.957,0.801
75:50:25,372,6.2,0.898,0.955,0.8
75:50:26,373,6.216666667,0.898,0.955,0.8
75:50:27,374,6.233333333,0.897,0.955,0.8
75:50:28,375,6.25,0.898,0.958,0.8
75:50:29,376,6.266666667,0.898,0.956,0.8
75:50:30,377,6.283333333,0.897,0.957,0.801
75:50:31,378,6.3,0.898,0.958,0.8
75:50:32,379,6.316666667,0.897,0.957,0.8
75:50:33,380,6.333333333,0.896,0.955,0.799
75:50:34,381,6.35,0.898,0.953,0.799
75:50:35,382,6.366666667,0.896,0.952,0.798
75:50:36,383,6.383333333,0.896,0.954,0.799
75:50:37,384,6.4,0.897,0.955,0.797
75:50:38,385,6.416666667,0.896,0.954,0.799
75:50:39,386,6.433333333,0.896,0.956,0.798
75:50:40,387,6.45,0.897,0.954,0.798
75:50:41,388,6.466666667,0.895,0.956,0.799
75:50:42,389,6.483333333,0.897,0.957,0.799
75:50:43,390,6.5,0.896,0.957,0.798
75:50:44,391,6.516666667,0.895,0.953,0.798
75:50:45,392,6.533333333,0.895,0.954,0.798
75:50:46,393,6.55,0.896,0.953,0.797
75:50:47,394,6.566666667,0.895,0.955,0.798
75:50:48,395,6.583333333,0.896,0.955,0.796
75:50:49,396,6.6,0.895,0.953,0.798
75:50:50,397,6.616666667,0.894,0.954,0.797
75:50:51,398,6.633333333,0.896,0.953,0.798
75:50:52,399,6.65,0.893,0.951,0.796
75:50:53,400,6.666666667,0.894,0.953,0.798
75:50:54,401,6.683333333,0.895,0.955,0.796
75:50:55,402,6.7,0.894,0.954,0.797
75:50:56,403,6.716666667,0.893,0.955,0.796
75:50:57,404,6.733333333,0.894,0.952,0.796
75:50:58,405,6.75,0.893,0.952,0.796
75:50:59,406,6.766666667,0.894,0.952,0.796
75:51:00,407,6.783333333,0.894,0.953,0.795
75:51:01,408,6.8,0.893,0.952,0.796
75:51:02,409,6.816666667,0.893,0.954,0.796
75:51:03,410,6.833333333,0.893,0.952,0.795
75:51:04,411,6.85,0.892,0.952,0.796
75:51:05,412,6.866666667,0.893,0.953,0.795
75:51:06,413,6.883333333,0.893,0.952,0.795
75:51:07,414,6.9,0.892,0.952,0.795
75:51:08,415,6.916666667,0.893,0.954,0.796
75:51:09,416,6.933333333,0.892,0.955,0.795
75:51:10,417,6.95,0.892,0.953,0.796
75:51:11,418,6.966666667,0.891,0.953,0.795
75:51:12,419,6.983333333,0.893,0.953,0.796
75:51:13,420,7,0.891,0.952,0.794
75:51:14,421,7.016666667,0.891,0.952,0.796
75:51:15,422,7.033333333,0.892,0.954,0.794
75:51:16,423,7.05,0.891,0.953,0.795
75:51:17,424,7.066666667,0.89,0.955,0.794
75:51:18,425,7.083333333,0.891,0.954,0.794
75:51:19,426,7.1,0.89,0.954,0.795
75:51:20,427,7.116666667,0.89,0.954,0.794
75:51:21,428,7.133333333,0.891,0.954,0.794
75:51:22,429,7.15,0.89,0.95,0.793
75:51:23,430,7.166666667,0.89,0.951,0.794
75:51:24,431,7.183333333,0.89,0.953,0.793
75:51:25,432,7.2,0.891,0.952,0.794
75:51:26,433,7.216666667,0.889,0.952,0.793
75:51:27,434,7.233333333,0.891,0.952,0.794
75:51:28,435,7.25,0.89,0.948,0.793
75:51:29,436,7.266666667,0.889,0.947,0.794
75:51:30,437,7.283333333,0.889,0.95,0.792
75:51:31,438,7.3,0.89,0.949,0.793
75:51:32,439,7.316666667,0.888,0.95,0.793
75:51:33,440,7.333333333,0.89,0.952,0.793
75:51:34,441,7.35,0.889,0.952,0.793
75:51:35,442,7.366666667,0.888,0.951,0.793
75:51:36,443,7.383333333,0.889,0.953,0.792
75:51:37,444,7.4,0.889,0.951,0.792
75:51:38,445,7.416666667,0.888,0.951,0.793
75:51:39,446,7.433333333,0.889,0.951,0.792
75:51:40,447,7.45,0.889,0.951,0.793
75:51:41,448,7.466666667,0.887,0.951,0.792
75:51:42,449,7.483333333,0.888,0.952,0.793
75:51:43,450,7.5,0.888,0.95,0.792
75:51:44,451,7.516666667,0.888,0.949,0.794
75:51:45,452,7.533333333,0.888,0.951,0.792
75:51:46,453,7.55,0.889,0.95,0.793
75:51:47,454,7.566666667,0.887,0.95,0.793
75:51:48,455,7.583333333,0.887,0.95,0.793
75:51:49,456,7.6,0.888,0.951,0.792
75:51:50,457,7.616666667,0.887,0.949,0.792
75:51:51,458,7.633333333,0.886,0.951,0.792
75:51:52,459,7.65,0.888,0.95,0.792
75:51:53,460,7.666666667,0.886,0.948,0.792
75:51:54,461,7.683333333,0.886,0.947,0.792
75:51:55,462,7.7,0.887,0.947,0.792
75:51:56,463,7.716666667,0.885,0.944,0.791
75:51:57,464,7.733333333,0.886,0.945,0.792
75:51:58,465,7.75,0.886,0.944,0.791
75:51:59,466,7.766666667,0.886,0.944,0.792
75:52:00,467,7.783333333,0.885,0.946,0.791
75:52:01,468,7.8,0.886,0.947,0.792
75:52:02,469,7.816666667,0.885,0.947,0.791
75:52:03,470,7.833333333,0.886,0.947,0.793
75:52:04,471,7.85,0.886,0.946,0.791
75:52:05,472,7.866666667,0.885,0.944,0.791
75:52:06,473,7.883333333,0.884,0.945,0.791
75:52:07,474,7.9,0.886,0.945,0.791
75:52:08,475,7.916666667,0.884,0.946,0.791
75:52:09,476,7.933333333,0.885,0.944,0.792
75:52:10,477,7.95,0.885,0.944,0.79
75:52:11,478,7.966666667,0.885,0.943,0.791
75:52:12,479,7.983333333,0.884,0.945,0.791
75:52:13,480,8,0.885,0.945,0.79
75:52:14,481,8.016666667,0.884,0.945,0.791
75:52:15,482,8.033333333,0.884,0.945,0.79
75:52:16,483,8.05,0.885,0.945,0.79
75:52:17,484,8.066666667,0.884,0.944,0.789
75:52:18,485,8.083333333,0.884,0.946,0.791
75:52:19,486,8.1,0.884,0.947,0.79
75:52:20,487,8.116666667,0.884,0.946,0.791
75:52:21,488,8.133333333,0.883,0.947,0.789
75:52:22,489,8.15,0.884,0.946,0.79
75:52:23,490,8.166666667,0.882,0.945,0.788
75:52:24,491,8.183333333,0.883,0.944,0.789
75:52:25,492,8.2,0.883,0.945,0.788
75:52:26,493,8.216666667,0.883,0.943,0.789
75:52:27,494,8.233333333,0.883,0.945,0.788
75:52:28,495,8.25,0.884,0.943,0.788
75:52:29,496,8.266666667,0.882,0.945,0.789
75:52:30,497,8.283333333,0.883,0.945,0.788
75:52:31,498,8.3,0.883,0.943,0.788
75:52:32,499,8.316666667,0.882,0.942,0.788
75:52:33,500,8.333333333,0.883,0.943,0.788
75:52:34,501,8.35,0.882,0.94,0.788
75:52:35,502,8.366666667,0.882,0.942,0.789
75:52:36,503,8.383333333,0.882,0.943,0.788
75:52:37,504,8.4,0.882,0.941,0.789
75:52:38,505,8.416666667,0.882,0.943,0.787
75:52:39,506,8.433333333,0.883,0.943,0.788
75:52:40,507,8.45,0.88,0.942,0.788
75:52:41,508,8.466666667,0.882,0.942,0.788
75:52:42,509,8.483333333,0.881,0.943,0.788
75:52:43,510,8.5,0.881,0.942,0.789
75:52:44,511,8.516666667,0.881,0.944,0.787
75:52:45,512,8.533333333,0.881,0.943,0.788
75:52:46,513,8.55,0.88,0.942,0.788
75:52:47,514,8.566666667,0.881,0.941,0.787
75:52:48,515,8.583333333,0.88,0.942,0.787
75:52:49,516,8.6,0.88,0.942,0.787
75:52:50,517,8.616666667,0.881,0.943,0.787
75:52:51,518,8.633333333,0.88,0.941,0.787
75:52:52,519,8.65,0.88,0.943,0.788
75:52:53,520,8.666666667,0.88,0.942,0.787
75:52:54,521,8.683333333,0.88,0.94,0.787
75:52:55,522,8.7,0.879,0.94,0.786
75:52:56,523,8.716666667,0.881,0.94,0.787
75:52:57,524,8.733333333,0.879,0.939,0.786
75:52:58,525,8.75,0.88,0.939,0.787
75:52:59,526,8.766666667,0.88,0.939,0.785
75:53:00,527,8.783333333,0.88,0.938,0.787
75:53:01,528,8.8,0.88,0.94,0.785
75:53:02,529,8.816666667,0.88,0.939,0.786
75:53:03,530,8.833333333,0.879,0.94,0.786
75:53:04,531,8.85,0.88,0.94,0.786
75:53:05,532,8.866666667,0.879,0.94,0.786
75:53:06,533,8.883333333,0.879,0.94,0.786
75:53:07,534,8.9,0.88,0.941,0.786
75:53:08,535,8.916666667,0.879,0.939,0.785
75:53:09,536,8.933333333,0.879,0.941,0.786
75:53:10,537,8.95,0.88,0.94,0.784
75:53:11,538,8.966666667,0.879,0.939,0.785
75:53:12,539,8.983333333,0.878,0.939,0.785
75:53:13,540,9,0.879,0.939,0.785
75:53:14,541,9.016666667,0.877,0.938,0.785
75:53:15,542,9.033333333,0.879,0.938,0.785
75:53:16,543,9.05,0.878,0.938,0.784
75:53:17,544,9.066666667,0.878,0.939,0.786
75:53:18,545,9.083333333,0.878,0.941,0.784
75:53:19,546,9.1,0.878,0.939,0.785
75:53:20,547,9.116666667,0.878,0.939,0.785
75:53:21,548,9.133333333,0.879,0.937,0.784
