"","OxyElectrode 1 Last (V)","OxyElectrode 1 Ave. (V)","OxyElectrode 1 Min. (V)","OxyElectrode 1 Max. (V)","OxyElectrode 2 Last (V)","OxyElectrode 2 Ave. (V)","OxyElectrode 2 Min. (V)","OxyElectrode 2 Max. (V)","OxyElectrode 3 Last (V)","OxyElectrode 3 Ave. (V)","OxyElectrode 3 Min. (V)","OxyElectrode 3 Max. (V)"
"162:46:07","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:08","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:09","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:10","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:11","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:12","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:13","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:14","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:15","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:16","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:17","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:18","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:19","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:20","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:21","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:22","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:23","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:24","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:25","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:26","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:27","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:28","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:29","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:30","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:31","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:32","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:33","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:34","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:35","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:36","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:37","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:38","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:39","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:40","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:41","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:42","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:43","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:44","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:45","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:46","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:47","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:48","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:49","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:50","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:51","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:52","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:53","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:54","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:55","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:56","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:57","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:58","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:59","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:00","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:01","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:02","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:03","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:04","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:05","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:06","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:07","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:08","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:09","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:10","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:11","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:12","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:13","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:14","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:15","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:16","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:17","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:18","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:19","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:20","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:21","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:22","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:23","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:24","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:25","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:26","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:27","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:28","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:29","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:30","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:31","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:32","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:33","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:34","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:35","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:36","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:37","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:38","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:39","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:40","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:41","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:42","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:43","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:44","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:45","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:46","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:47","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:48","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:49","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:50","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:51","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:52","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:53","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:54","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:55","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:56","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:57","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:58","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:47:59","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:00","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:01","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:02","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:03","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:04","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:05","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:06","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:07","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:08","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:09","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:10","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:11","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:12","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:13","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:14","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:15","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:16","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:17","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:18","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:19","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:20","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:21","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:22","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:23","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:24","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:25","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:26","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:27","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:28","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:29","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:30","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:31","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:32","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:33","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:34","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:35","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:36","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:37","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:38","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:39","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:40","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:41","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:42","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:43","0.32","0.32","0.32","0.32","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:44","0.32","0.32","0.32","0.32","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:45","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:46","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:47","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:48","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:49","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:50","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:51","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:52","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:53","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:54","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:55","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:56","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:57","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:58","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:48:59","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:00","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:01","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:02","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:03","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:04","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:05","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:06","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:07","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:08","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:09","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:10","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:11","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:12","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:13","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:14","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:15","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:16","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:17","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:18","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:19","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:20","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:21","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:22","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:23","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:24","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:25","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:26","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:27","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:28","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:29","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:30","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:31","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:32","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:33","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:34","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:35","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:36","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:37","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:38","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:39","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:40","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:41","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:49:42","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
