"","OxyElectrode 1 Last (V)","OxyElectrode 1 Ave. (V)","OxyElectrode 1 Min. (V)","OxyElectrode 1 Max. (V)","OxyElectrode 2 Last (V)","OxyElectrode 2 Ave. (V)","OxyElectrode 2 Min. (V)","OxyElectrode 2 Max. (V)","OxyElectrode 3 Last (V)","OxyElectrode 3 Ave. (V)","OxyElectrode 3 Min. (V)","OxyElectrode 3 Max. (V)"
"189:35:51","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.69","0.69","0.69","0.69"
"189:35:52","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.75","0.75","0.75","0.75"
"189:35:53","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.75","0.75","0.75","0.75"
"189:35:54","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.69","0.69","0.69","0.69"
"189:35:55","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.68","0.68","0.68","0.68"
"189:35:56","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.74","0.74","0.74","0.74"
"189:35:57","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.75","0.75","0.75","0.75"
"189:35:58","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.70","0.70","0.70","0.70"
"189:35:59","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.68","0.68","0.68","0.68"
"189:36:00","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.72","0.72","0.72","0.72"
"189:36:01","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.75","0.75","0.75","0.75"
"189:36:02","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.71","0.71","0.71","0.71"
"189:36:03","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.68","0.68","0.68","0.68"
"189:36:04","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.71","0.71","0.71","0.71"
"189:36:05","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.75","0.75","0.75","0.75"
"189:36:06","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.72","0.72","0.72","0.72"
"189:36:07","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.67","0.67","0.67","0.67"
"189:36:08","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.70","0.70","0.70","0.70"
"189:36:09","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.75","0.75","0.75","0.75"
"189:36:10","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.73","0.73","0.73","0.73"
"189:36:11","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.68","0.68","0.68","0.68"
"189:36:12","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.69","0.69","0.69","0.69"
"189:36:13","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.75","0.75","0.75","0.75"
"189:36:14","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.74","0.74","0.74","0.74"
"189:36:15","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.68","0.68","0.68","0.68"
"189:36:16","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.70","0.70","0.70","0.70"
"189:36:17","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.75","0.75","0.75","0.75"
"189:36:18","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.73","0.73","0.73","0.73"
"189:36:19","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.68","0.68","0.68","0.68"
"189:36:20","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.70","0.70","0.70","0.70"
"189:36:21","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.75","0.75","0.75","0.75"
"189:36:22","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.73","0.73","0.73","0.73"
"189:36:23","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.68","0.68","0.68","0.68"
"189:36:24","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.71","0.71","0.71","0.71"
"189:36:25","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.75","0.75","0.75","0.75"
"189:36:26","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.70","0.70","0.70","0.70"
"189:36:27","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.68","0.68","0.68","0.68"
"189:36:28","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.74","0.74","0.74","0.74"
"189:36:29","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.74","0.74","0.74","0.74"
"189:36:30","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.67","0.67","0.67","0.67"
"189:36:31","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.71","0.71","0.71","0.71"
"189:36:32","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.75","0.75","0.75","0.75"
"189:36:33","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.69","0.69","0.69","0.69"
"189:36:34","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.70","0.70","0.70","0.70"
"189:36:35","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.75","0.75","0.75","0.75"
"189:36:36","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.70","0.70","0.70","0.70"
"189:36:37","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.68","0.68","0.68","0.68"
"189:36:38","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.75","0.75","0.75","0.75"
"189:36:39","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.71","0.71","0.71","0.71"
"189:36:40","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.67","0.67","0.67","0.67"
"189:36:41","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.73","0.73","0.73","0.73"
"189:36:42","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.74","0.74","0.74","0.74"
"189:36:43","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.68","0.68","0.68","0.68"
"189:36:44","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.70","0.70","0.70","0.70"
"189:36:45","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.75","0.75","0.75","0.75"
"189:36:46","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.71","0.71","0.71","0.71"
"189:36:47","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.68","0.68","0.68","0.68"
"189:36:48","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.74","0.74","0.74","0.74"
"189:36:49","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.73","0.73","0.73","0.73"
"189:36:50","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.68","0.68","0.68","0.68"
"189:36:51","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.71","0.71","0.71","0.71"
"189:36:52","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.75","0.75","0.75","0.75"
"189:36:53","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.69","0.69","0.69","0.69"
"189:36:54","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.68","0.68","0.68","0.68"
"189:36:55","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.75","0.75","0.75","0.75"
"189:36:56","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.73","0.73","0.73","0.73"
"189:36:57","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.67","0.67","0.67","0.67"
"189:36:58","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.73","0.73","0.73","0.73"
"189:36:59","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.74","0.74","0.74","0.74"
"189:37:00","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.68","0.68","0.68","0.68"
"189:37:01","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.69","0.69","0.69","0.69"
"189:37:02","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.75","0.75","0.75","0.75"
"189:37:03","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.71","0.71","0.71","0.71"
"189:37:04","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.68","0.68","0.68","0.68"
"189:37:05","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.73","0.73","0.73","0.73"
"189:37:06","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.73","0.73","0.73","0.73"
"189:37:07","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.68","0.68","0.68","0.68"
"189:37:08","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.71","0.71","0.71","0.71"
"189:37:09","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.75","0.75","0.75","0.75"
"189:37:10","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.70","0.70","0.70","0.70"
"189:37:11","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.67","0.67","0.67","0.67"
"189:37:12","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.74","0.74","0.74","0.74"
"189:37:13","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.74","0.74","0.74","0.74"
"189:37:14","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.67","0.67","0.67","0.67"
"189:37:15","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.70","0.70","0.70","0.70"
"189:37:16","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.75","0.75","0.75","0.75"
"189:37:17","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.69","0.69","0.69","0.69"
"189:37:18","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.68","0.68","0.68","0.68"
"189:37:19","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.74","0.74","0.74","0.74"
"189:37:20","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.72","0.72","0.72","0.72"
"189:37:21","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.67","0.67","0.67","0.67"
"189:37:22","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.72","0.72","0.72","0.72"
"189:37:23","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.74","0.74","0.74","0.74"
"189:37:24","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.68","0.68","0.68","0.68"
"189:37:25","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.69","0.69","0.69","0.69"
"189:37:26","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.75","0.75","0.75","0.75"
"189:37:27","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.70","0.70","0.70","0.70"
"189:37:28","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.67","0.67","0.67","0.67"
"189:37:29","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.74","0.74","0.74","0.74"
"189:37:30","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.72","0.72","0.72","0.72"
"189:37:31","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.67","0.67","0.67","0.67"
"189:37:32","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.72","0.72","0.72","0.72"
"189:37:33","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.73","0.73","0.73","0.73"
"189:37:34","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.67","0.67","0.67","0.67"
"189:37:35","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.71","0.71","0.71","0.71"
"189:37:36","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.74","0.74","0.74","0.74"
"189:37:37","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.68","0.68","0.68","0.68"
"189:37:38","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.70","0.70","0.70","0.70"
"189:37:39","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.74","0.74","0.74","0.74"
"189:37:40","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.69","0.69","0.69","0.69"
"189:37:41","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.67","0.67","0.67","0.67"
"189:37:42","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.74","0.74","0.74","0.74"
"189:37:43","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.73","0.73","0.73","0.73"
"189:37:44","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.67","0.67","0.67","0.67"
"189:37:45","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.70","0.70","0.70","0.70"
"189:37:46","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.74","0.74","0.74","0.74"
"189:37:47","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.68","0.68","0.68","0.68"
"189:37:48","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.68","0.68","0.68","0.68"
"189:37:49","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.74","0.74","0.74","0.74"
"189:37:50","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.70","0.70","0.70","0.70"
"189:37:51","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.67","0.67","0.67","0.67"
"189:37:52","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.73","0.73","0.73","0.73"
"189:37:53","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.73","0.73","0.73","0.73"
"189:37:54","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.67","0.67","0.67","0.67"
"189:37:55","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.69","0.69","0.69","0.69"
"189:37:56","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.74","0.74","0.74","0.74"
"189:37:57","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.69","0.69","0.69","0.69"
"189:37:58","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.67","0.67","0.67","0.67"
"189:37:59","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.73","0.73","0.73","0.73"
"189:38:00","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.74","0.74","0.74","0.74"
"189:38:01","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.68","0.68","0.68","0.68"
"189:38:02","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.67","0.67","0.67","0.67"
"189:38:03","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.73","0.73","0.73","0.73"
"189:38:04","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.74","0.74","0.74","0.74"
"189:38:05","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.68","0.68","0.68","0.68"
"189:38:06","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.67","0.67","0.67","0.67"
"189:38:07","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.73","0.73","0.73","0.73"
"189:38:08","0.31","0.31","0.31","0.31","0.25","0.25","0.25","0.25","0.74","0.74","0.74","0.74"
"189:38:09","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.68","0.68","0.68","0.68"
"189:38:10","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.67","0.67","0.67","0.67"
"189:38:11","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.72","0.72","0.72","0.72"
"189:38:12","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.74","0.74","0.74","0.74"
"189:38:13","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.69","0.69","0.69","0.69"
"189:38:14","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.67","0.67","0.67","0.67"
"189:38:15","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.72","0.72","0.72","0.72"
"189:38:16","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.74","0.74","0.74","0.74"
"189:38:17","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.69","0.69","0.69","0.69"
"189:38:18","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.67","0.67","0.67","0.67"
"189:38:19","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.72","0.72","0.72","0.72"
"189:38:20","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.73","0.73","0.73","0.73"
"189:38:21","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.68","0.68","0.68","0.68"
"189:38:22","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.68","0.68","0.68","0.68"
"189:38:23","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.73","0.73","0.73","0.73"
"189:38:24","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.71","0.71","0.71","0.71"
"189:38:25","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.66","0.66","0.66","0.66"
"189:38:26","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.71","0.71","0.71","0.71"
"189:38:27","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.73","0.73","0.73","0.73"
"189:38:28","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.67","0.67","0.67","0.67"
"189:38:29","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.68","0.68","0.68","0.68"
"189:38:30","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.74","0.74","0.74","0.74"
"189:38:31","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.70","0.70","0.70","0.70"
"189:38:32","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.66","0.66","0.66","0.66"
"189:38:33","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.72","0.72","0.72","0.72"
"189:38:34","0.30","0.30","0.30","0.30","0.25","0.25","0.25","0.25","0.72","0.72","0.72","0.72"
"189:38:35","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.67","0.67","0.67","0.67"
"189:38:36","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.69","0.69","0.69","0.69"
"189:38:37","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.74","0.74","0.74","0.74"
"189:38:38","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.69","0.69","0.69","0.69"
"189:38:39","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.67","0.67","0.67","0.67"
"189:38:40","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.73","0.73","0.73","0.73"
"189:38:41","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.71","0.71","0.71","0.71"
"189:38:42","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.66","0.66","0.66","0.66"
"189:38:43","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.71","0.71","0.71","0.71"
"189:38:44","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.74","0.74","0.74","0.74"
"189:38:45","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.68","0.68","0.68","0.68"
"189:38:46","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.67","0.67","0.67","0.67"
"189:38:47","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.73","0.73","0.73","0.73"
"189:38:48","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.71","0.71","0.71","0.71"
"189:38:49","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.66","0.66","0.66","0.66"
"189:38:50","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.70","0.70","0.70","0.70"
"189:38:51","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.73","0.73","0.73","0.73"
"189:38:52","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.68","0.68","0.68","0.68"
"189:38:53","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.68","0.68","0.68","0.68"
"189:38:54","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.73","0.73","0.73","0.73"
"189:38:55","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.70","0.70","0.70","0.70"
"189:38:56","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.66","0.66","0.66","0.66"
"189:38:57","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.72","0.72","0.72","0.72"
"189:38:58","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.72","0.72","0.72","0.72"
"189:38:59","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.66","0.66","0.66","0.66"
"189:39:00","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.71","0.71","0.71","0.71"
"189:39:01","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.73","0.73","0.73","0.73"
"189:39:02","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.67","0.67","0.67","0.67"
"189:39:03","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.68","0.68","0.68","0.68"
"189:39:04","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.73","0.73","0.73","0.73"
"189:39:05","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.68","0.68","0.68","0.68"
"189:39:06","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.67","0.67","0.67","0.67"
"189:39:07","0.30","0.30","0.30","0.30","0.24","0.24","0.24","0.24","0.73","0.73","0.73","0.73"
